Name ,Genre ,Runtime ,Rating 
21,action,2 hours,12+
10 Things I Hate About You,"Comedy, Romance ",1 hour 40 minutes,12+
12 Years a Slave,drama,2 Hours 15 minutes,15+
13 Going on 30,"Comedy, Romance ",1 hour 40 minutes,12+
21 Grams,"Crime, Thriller ",2 hours 10 minutes,15+
27 Dresses,"Comedy, Romance ",1 hour 55 minutes ,12+
50 First dates ,"Comedy, Romance ",1 hour 40 minutes ,12+
A Beautiful Mind,thriller,2 hours 15 minutes,15+
A Hijacking,thriller,1 hour 40 minutes,15+
A perfect Murder ,Thriller  ,1 hour 47 minutes ,15+
A scuola di  vitae,Documentary ,,
A Series of Unfortunate Events,"comedy, fantasy",1 hour 50 minutes,12+
A Serious Man,comedy. Drama,1 hour 45 minutes ,15+
A Thousand Words,comedy,1 hour 30 minutes,12+
About Schmidi,"Dark Comedy, Drama ",2 hours 5 minutes ,15+
Admission,"Comedy, Romance ",1 hour 50 minutes,12+
After the Sunset,action,1 hour 40 minutes,12+
Alien vs Predator ,"si-fi, horror ",1 hour 40  minutes ,12+
Aliens in the Attic,"sci-fi, comedy",1 hour 30 minutes,everyone
All is Bright ,Comedy ,1 hour 47 minutes ,15+
All The Kingsmen,"Thriller, drama ", 2 hour 20 minutes,12+
Almost Famous ,"Drama, Comedy ",2 hours ,18+
Along came a spider ,"Thriller, Drama ",1 hour 45 minutes ,15+
Along came Polly,"romance, comedy",1 hour 30 minutes,12+
Amazon ,Documentary ,,
Amelie,comedy,2 hours,15+
American Beauty ,Drama,2 hours,18+
American Hustle,"comedy, drama",2 hours 20 minutes,15+
American Psycho,"horror, drama ",1 hour 40 minutes ,18+
American Splendor,"documentary, drama, comedy",1 hour 40 minutes,18+
American wedding,comedy,1 hour 35 minutes ,18+
An Education,romance,1 hour 40 minutes,12+
An Idiot Abroad,"TV show, comedy",,15+
Analyze That,comedy,1 hour 40 minutes,15+
Analze this ,"Comedy, Crime",1 hour 45 minutes ,18+
Anchorman,comedy,1 hour 30 minutes,15+
Angela'a Ashes,"biography, drama",2 hours 30 minutes ,15+
Apt Pupil ,"Thriller, Crime Drama ",1 hour ì50 minutes ,15+
Are We Done Yet?,comedy,1 hour 35 minutes ,12+
Are We There Yet?,comedy,1 hour 30 minutes,everyone
Argo,thriller,2 hours,15+
